CameraName,CameraSpecsUrl,MSRP,Body type,Max resolution,Image ratio w:h,Effective pixels,Sensor photo detectors,Sensor size,Sensor type,Processor,ISO,Boosted ISO (minimum),Boosted ISO (maximum),White balance presets,Custom white balance,Image stabilization,CIPA image stabilization rating,Uncompressed format,JPEG quality levels,Autofocus,Manual focus,Number of focus points,Lens mount,Focal length multiplier,Articulated LCD,Screen size,Screen dots,Touch screen,Screen type,Live view,Viewfinder type,Viewfinder coverage,Viewfinder magnification,Viewfinder resolution,Minimum shutter speed,Maximum shutter speed,Maximum shutter speed (electronic),Aperture priority,Shutter priority,Manual exposure mode,Built-in flash,External flash,Continuous drive,Self-timer,Metering modes,Exposure compensation,AE Bracketing,Format,Modes,Microphone,Speaker,Storage types,USB,USB charging,HDMI,Microphone port,Headphone port,Wireless,Wireless notes,Remote control,Environmentally sealed,Battery,Battery description,Battery Life (CIPA),Weight (inc. batteries),Dimensions,Orientation sensor,Timelapse recording,GPS,,,
Canon PowerShot ELPH 170 IS (IXUS 170),https://www.dpreview.com/products/canon/compacts/canon_elph170is/specifications,$149 / £149 / £189,Ultracompact,5152 x 3864,"5152 x 2896 (16:9), 3648 x 2736, 2048 x 1536, 640 x 480","4:3, 16:9",20 megapixels,21 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,DIGIC 4+,"Auto, 100-1600",5,Yes,Optical,No,Fine,25–300 mm,12×,F3.6–7,Contrast Detect (sensor)CenterTrackingSingleContinuousFace DetectionLive View,Yes (4X),No,5 cm (1.97″),1 cm (0.39″),9,Fixed,2.7″,230000,No,TFT LCD,Yes,None,15 sec,1/2000 sec,No,No,No,Yes,Yes,4.00 m,No,"Auto, on, off, slow synchro",0.8 fps,"Yes (2 or 10 sec, custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"1920 x 1080 (25p), 640 x 480 (30 fps)","MPEG-4, H.264",Mono,Mono,SD/SDHC/SDXC card,USB 2.0 (480 Mbit/sec),No,No,No,No,No,Battery Pack,NB-11L/LH lithium-ion battery & charger,200,141 g (0.31 lb / 4.97 oz),100 x 58 x 23 mm (3.94 x 2.28 x 0.91″),Yes,No,None,,,,,,
Canon PowerShot ELPH 160 (IXUS 160),https://www.dpreview.com/products/canon/compacts/canon_elph160/specifications,$119 / £99 / €129,Ultracompact,5152 x 3864,"5152 x 2896 (16:9), 3648 x 2736, 2048 x 1536, 640 x 480","4:3, 16:9",20 megapixels,21 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,DIGIC 4+,"Auto, 100-1600",5,Yes,Digital only,No,Fine,28–224 mm,8×,F3.2–6.9,Contrast Detect (sensor)CenterTrackingSingleContinuousFace DetectionLive View,Yes (4X),No,5 cm (1.97″),1 cm (0.39″),9,Fixed,2.7″,230000,No,TFT LCD,Yes,None,15 sec,1/2000 sec,No,No,No,Yes,Yes,3.00 m,No,"Auto, on, off, slow synchro",0.8 fps,"Yes (2 or 10 sec, custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"1280 x 720 (25p), 640 x 480 (30 fps)","MPEG-4, H.264",Mono,Mono,SD/SDHC/SDXC card,USB 2.0 (480 Mbit/sec),No,No,No,No,No,Battery Pack,NB-11L/LH lithium-ion battery & charger,220,127 g (0.28 lb / 4.48 oz),95 x 54 x 22 mm (3.74 x 2.13 x 0.87″),Yes,No,None,,,,,,
Canon IXUS 165,https://www.dpreview.com/products/canon/compacts/canon_ixus165/specifications,£129 / €149,Ultracompact,5152 x 3864,"5152 x 2896 (16:9), 3648 x 2736, 2048 x 1536, 640 x 480","4:3, 16:9",20 megapixels,21 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,DIGIC 4+,"Auto, 100-1600",5,Yes,Optical,No,Fine,28–224 mm,8×,F3.2–6.9,Contrast Detect (sensor)CenterTrackingSingleContinuousFace DetectionLive View,Yes (4X),No,5 cm (1.97″),1 cm (0.39″),9,Fixed,2.7″,230000,TFT LCD,Yes,None,15 sec,1/2000 sec,No,No,No,Yes,Yes,3.00 m,No,"Auto, on, off, slow synchro",0.8 fps,"Yes (2 or 10 sec, custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"1280 x 720 (25p), 640 x 480 (30p)","MPEG-4, H.264",Mono,Mono,SD/SDHC/SDXC card,USB 2.0 (480 Mbit/sec),No,No,No,No,No,Battery Pack,NB-11L/LH lithium-ion battery & charger,220,128 g (0.28 lb / 4.52 oz),95 x 54 x 22 mm (3.74 x 2.13 x 0.87″),Yes,No,None,,,,,,,
Canon PowerShot SX60 HS,https://www.dpreview.com/products/canon/compacts/canon_sx60hs/specifications,$549,SLR-like (bridge),4608 x 3072,"4608 x 3456, 4608 x 2592, 3456 x 3456, 2768 x 3456, 3264 x 2448, 3264 x 2176, 3264 x 1832, 2448 x 2448, 1952 x 2448, 2048 x 1536, 2048 x 1368, 1920 x 1080, 1536 x 1536, 1232 x 1536","1:1, 5:4, 4:3, 3:2, 16:9",16 megapixels,17 megapixels,"1/2.3"" (6.17 x 4.55 mm)",BSI-CMOS,DIGIC 6,"Auto, 100-3200 (6400 in low light mode at low resolution)",7,Yes (2 slots),Optical,RAW,"Super fine, fine",21–1365 mm,65×,F3.4–6.5,Contrast Detect (sensor)Multi-areaSelective single-pointTrackingSingleContinuousFace DetectionLive View,Yes (4x),Yes,0 cm (0″),0 cm (0″),9,Fully articulated,3″,922000,No,Yes,Electronic,100%,922000,15 sec,1/2000 sec,Yes,Yes,Yes,Yes,Yes,5.50 m,Yes (Hot-shoe),"Auto, on, slow synchro, off",6.4 fps,"Yes (2 or 10 sec, Custom)",MultiCenter-weightedSpot,±3 (at 1/3 EV steps),"1920 x 1080 (60p, 30p), 1280 x 720 (30p), 640 x 480 (30p)","MPEG-4, H.264","Also offers Super Slow Motion, Miniature Effect, Digest Movie",Stereo,Mono,SD/SDHC/SDXC,USB 2.0 (480 Mbit/sec),Yes (mini-HDMI),No,No,Built-In,image sharing via Canon Image Gateway,No (Wired),No,Battery Pack,Lithium-Ion NB-10L rechargeable battery & charger,340,650 g (1.43 lb / 22.93 oz),128 x 93 x 114 mm (5.04 x 3.66 x 4.49″),Yes,No,None,,
Canon EOS 7D Mark II,https://www.dpreview.com/products/canon/slrs/canon_eos7dii/specifications,"$1799 (body only), $2149 (w/18-135mm F3.5-5.6 IS STM lens)",Mid-size SLR,5472 x 3648,"4104 x 2736 (M-Raw), 3648 x 2432, 2736 x 1824, 1920 x 1080, 720 x 480","3:2, 16:9",20 megapixels,21 megapixels,APS-C (22.4 x 15 mm),CMOS,DIGIC 6 (dual),"Auto, ISO 100-16000 (expandable to 51200)",51200,8,Yes,No,RAW,"Fine, normal",Contrast Detect (sensor)Phase DetectMulti-areaCenterSelective single-pointTrackingSingleContinuousFace DetectionLive View,Yes,65,Canon EF/EF-S,1.6×,No,3″,1040000,No,Clear View II TFT-LCD,Yes,Optical (pentaprism),100%,1× (0.62× 35mm equiv.),30 sec,1/8000 sec,Yes,Yes,Yes,No,Yes,"Yes (via hot shoe, flash sync port)",10.0 fps,Yes (2 or 10 sec),MultiCenter-weightedSpotPartial,"±5 (at 1/3 EV, 1/2 EV steps)","±5 (2, 3, 5, 7 frames at 1/3 EV, 1/2 EV steps)","1920 x 1080 (59.94, 50. 29.97, 25, 24, 23.98 fps), 1280 x 720 (59.94, 50, 29.97, 25 fps), 640 x 480 (29.97, 25 fps)",MPEG-4,"Choice of MOV or MP4 and IPB, Light IBP, ALL-I compression",Stereo,Mono,CompactFlash + SD/SDHC/SDXC,USB 3.0 (5 GBit/sec),Yes (mini-HDMI),Yes,Yes,Yes (wired or wireless),Yes,Battery Pack,LP-E6N lithium-ion battery and charger,670,910 g (2.01 lb / 32.10 oz),149 x 112 x 78 mm (5.87 x 4.41 x 3.07″),Yes,Built-in,,,,,,,,
Canon PowerShot G7 X,https://www.dpreview.com/products/canon/compacts/canon_g7x/specifications,$699,Compact,5472 x 3648,"5472 x 3080, 4864 x 3648, 4320 x 2880, 4320 x 2432, 3840 x 2880, 2304 x 1536, 2048 x 1536, 1920 x 1080, 720 x 480, 720 x 408, 640 x 480","4:3, 3:2, 16:9",20 megapixels,21 megapixels,1″ (13.2 x 8.8 mm),BSI-CMOS,DIGIC 6,"Auto, 125-12800",8,Yes,Optical,RAW,"Super fine, fine",24–100 mm,4.2×,F1.8–2.8,Contrast Detect (sensor)Multi-areaCenterSelective single-pointSingleContinuousTouchFace DetectionLive View,Yes (4x),Yes,5 cm (1.97″),5 cm (1.97″),31,Tilting,3″,1040000,Yes,TFT-LCD,Yes,None,40 sec,1/2000 sec,Yes,Yes,Yes,Yes,Yes,7.00 m,No,"Auto, on, slow synchro, off",6.5 fps,"Yes (2 0r 10 secs, custom)",MultiCenter-weightedSpot,±3 (at 1/3 EV steps),"1920 x 1080 (60p, 30p), 1280 x 720 (30p), 640 x 480 (30p)","MPEG-4, H.264","Also has star time-lapse. miniature effect, and digest modes",Stereo,Mono,SD/SDHC/SDXC (UHS-I compatible),USB 2.0 (480 Mbit/sec),Yes (micro-HDMI),No,No,Built-In,image sharing via Canon Image Gateway,Yes (via smartphone),No,Battery Pack,NB-13L lithium-ion battery and charger,210,304 g (0.67 lb / 10.72 oz),103 x 60 x 40 mm (4.06 x 2.36 x 1.57″),Yes,Yes (star time-lapse),None,,,
Canon PowerShot SX520 HS,https://www.dpreview.com/products/canon/compacts/canon_sx520hs/specifications,$399.99,Compact,4608 x 3456,"1:1, 4:3, 3:2, 16:9",16 megapixels,17 megapixels,"1/2.3"" (6.17 x 4.55 mm)",BSI-CMOS,Digic 4+,"Auto, 100-3200",5,Yes,Optical,No,"Superfine, Fine",24–1008 mm,42×,F3.4–6,Contrast Detect (sensor)Multi-areaCenterTrackingSingleContinuousFace DetectionLive View,Yes (4x),Yes,5 cm (1.97″),0 cm (0″),9,Fixed,3″,461000,No,TFT-LCD,Yes,None,15 sec,1/2000 sec,Yes,Yes,Yes,Yes,Yes (Pop-up),5.50 m,No,"Auto, on, off, slow synchro",1.6 fps,"Yes (2 or 10 sec, Custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),No,"1920 x 1080 (30 fps), 1280 x 720 (30 fps), 640 x 480 (30 fps)","MPEG-4, H.264",Stereo,Mono,SD/SDHC/SDXC,USB 2.0 (480 Mbit/sec),Yes (Mini-HDMI),No,No,No,No,Battery Pack,Lithium-Ion NB-6LH rechargeable battery & charger,210,441 g (0.97 lb / 15.56 oz),120 x 82 x 92 mm (4.72 x 3.23 x 3.62″),Yes,No,None,,,,,,
Canon PowerShot SX400 IS,https://www.dpreview.com/products/canon/compacts/canon_sx400is/specifications,$249.99,Compact,4608 x 3456,"1:1, 4:3, 3:2, 16:9",16 megapixels,17 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,Digic 4+,"Auto, 100-1600",5,Yes,Optical,No,"Superfine, Fine",24–720 mm,30×,F3.4–5.8,Contrast Detect (sensor)Multi-areaCenterTrackingSingleContinuousFace DetectionLive View,Yes (4x),No,5 cm (1.97″),0 cm (0″),9,Fixed,3″,230000,No,TFT-LCD,Yes,None,15 sec,1/1600 sec,No,No,No,Yes,Yes (Pop-up),5.00 m,No,"Auto, on, off, slow synchro",0.8 fps,"Yes (2 or 10 sec, Custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),No,"1280 x 720 (25 fps), 640 x 480 (30 fps)","MPEG-4, H.264",Mono,Mono,SD/SDHC/SDXC,USB 2.0 (480 Mbit/sec),No,No,No,No,No,Battery Pack,Lithium-Ion NB-11LH rechargeable battery & charger,190,313 g (0.69 lb / 11.04 oz),104 x 69 x 80 mm (4.09 x 2.72 x 3.15″),Yes,No,None,,,,,,
Canon PowerShot G1 X Mark II,https://www.dpreview.com/products/canon/compacts/canon_g1xii/specifications,$799.99,Large sensor compact,4160 x 3120,"4352 x 2904, 4352 x 2448, 3120 x 3120, 2496 x 3120, 3072 x 2304, 3072 x 2048, 3072 x 1728, 2304 x 2304, 1840 x 2304, 2048 x 1536, 2048 x 1368, 1920 x 1080, 1536 x 1536, 1232 x 1536","1:1, 5:4, 4:3, 3:2, 16:9",13 megapixels,15 megapixels,1.5″ (18.7 x 14 mm),CMOS,Digic 6,"Auto, 100-12800",8,Yes (2 Custom settings),Optical,RAW,"Superfine, fine",24–120 mm,5×,F2–3.9,Contrast Detect (sensor)Multi-areaCenterSelective single-pointTrackingSingleContinuousTouchFace DetectionLive View,Yes (4X),Yes,5 cm (1.97″),5 cm (1.97″),31,Tilting,3″,1040000,Yes (Capacitive),sRGB PureColor II Touchscreen LCD,Yes,Electronic (optional),60 sec,1/4000 sec,Yes,Yes,Yes,Yes,Yes,6.80 m,Yes,"Auto, On, Slow Synchro, Off",5.2 fps,"Yes (2 or 10 secs, custom)",MultiCenter-weightedSpot,±3 (at 1/3 EV steps),"1920 x 1080 (30p), 1280 x 720 (30p), 640 x 480 (30 fps)","MPEG-4, H.264","Star Time-Lapse: 1920 x 1080 (15 or 30 fps), Digest Movie: 1280 x 720 (30 fps), Minature Effect: 1280 x 720 or 640 x 480 (1.5 - 6 fps)",Stereo,Mono,SD/SDHC/SDXC,USB 2.0 (480 Mbit/sec),Yes,No,No,Built-In,with NFC,Yes,No,Battery Pack,NB-12L lithium-ion battery and charger,240,553 g (1.22 lb / 19.51 oz),116 x 74 x 66 mm (4.57 x 2.91 x 2.6″),Yes,None,,,,
Canon EOS 1200D (EOS Rebel T5 / EOS Kiss X70),https://www.dpreview.com/products/canon/slrs/canon_eos1200d/specifications,$549.99 (with 18-55 F3.5-5.6 lens),Compact SLR,5184 x 3456,"3456 x 2304, 2592 x 1728",3:2,18 megapixels,19 megapixels,APS-C (22.3 x 14.9 mm),CMOS,Digic 4,"Auto, 100, 200,  400, 800, 1600, 3200, 6400",6,Yes,No,RAW,"Fine, Normal",Contrast Detect (sensor)Phase DetectMulti-areaSelective single-pointSingleContinuousFace DetectionLive View,No,Yes,9,Canon EF/EF-S,1.6×,Fixed,3″,460000,No,"TFT color LCD, liquid-crystal monitor",Yes,Optical (pentamirror),95%,0.8× (0.5× 35mm equiv.),30 sec,1/4000 sec,Yes,Yes,Yes,Yes,Yes (Pop-up),9.20 m (at ISO 100),"Yes (Hot-shoe, E-TTL II)","Auto, On, Off,  Red-eye",3.0 fps,Yes (10 sec (2 sec with mirror lock-up)),MultiCenter-weightedPartial,"±5 (at 1/3 EV, 1/2 EV steps)","±2 (3 frames at 1/3 EV, 1/2 EV steps)",Yes (3 images at -/+ 3 steps),"1920 x 1080 (30, 25 fps)",H.264,Mono,Mono,SD/SDHC/SDXC card,USB 2.0 (480 Mbit/sec),Yes (mini-HDMI),No,No,Yes (E3 connector),No,Battery Pack,Lithium-Ion LP-E10 rechargeable battery & charger,500,480 g (1.06 lb / 16.93 oz),130 x 100 x 78 mm (5.12 x 3.94 x 3.07″),Yes,Yes (by USB cable and PC),None,,,,,
Canon PowerShot SX700 HS,https://www.dpreview.com/products/canon/compacts/canon_sx700/specifications,$349.99,Compact,4608 x 3456,"4608 x 3072, 4608 x 2592, 3456 x 3456, 3264 x 2448, 3264 x 2176, 3264 x 1832, 2448 x 2448, 640 x 480, 640 x 424, 640 x 360, 480 x 480","1:1, 4:3, 3:2, 16:9",16 megapixels,17 megapixels,"1/2.3"" (6.17 x 4.55 mm)",BSI-CMOS,Digic 6,"Auto, 100-3200",6,Yes,Optical,No,"Superfine, fine",25–750 mm,30×,F3.2–6.9,Contrast Detect (sensor)Multi-areaCenterSingleContinuousFace DetectionLive View,Yes (4X),5 cm (1.97″),1 cm (0.39″),9,Fixed,3″,922000,No,PureColor II G TFT,Yes,None,15 sec,1/3200 sec,Yes,Yes,Yes,Yes,Yes,3.50 m,No,"Auto, on, slow synchro, off",8.5 fps,"Yes (2 or 10 secs, custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),No,"1920 x 1080 (60p, 30p), 1280 x 720 (30p), 640 x 480 (30p)",H.264,Stereo,Mono,SD/SDHC/SDXC,USB 2.0 (480 Mbit/sec),Yes (micro HDMI),No,No,Built-In,802.11b/g/n with NFC,No,No,Battery Pack,NB-6LH lithium-ion battery and charger,250,269 g (0.59 lb / 9.49 oz),113 x 66 x 35 mm (4.45 x 2.6 x 1.38″),Yes,No,None,,,,
Canon PowerShot D30,https://www.dpreview.com/products/canon/compacts/canon_d30/specifications,$329.99,Compact,4000 x 3000,"1:1, 4:3, 3:2, 16:9",12 megapixels,13 megapixels,"1/2.3"" (6.17 x 4.55 mm)",BSI-CMOS,DIGIC 4,"Auto, 100-3200",6,Yes,Optical,No,"Superfine, fine",28–140 mm,5×,F3.9–4.8,Contrast Detect (sensor)Multi-areaCenterTrackingSingleContinuousFace DetectionLive View,Yes (4X),Yes,5 cm (1.97″),1 cm (0.39″),9,Fixed,3″,461000,No,PureColor II LCD,Yes,None,15 sec,1/1600 sec,No,No,No,Yes,Yes,3.50 m,No,"Auto, on, slow sync, off",1.9 fps,"Yes (2 or 10 sec, custom, face, wink)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"1920 x 1080 (24p), 1280 x 720 (30p), 640 x 480 (30p)",H.264,"Super Slow Motion: 640 x 480 or 320 x 240 (120, 240 fps), miniature effect: 1920 x 1080 or 1280 x 720 (1.5, 3, 6 fps)",Mono,Mono,SD/SDHC/SDXC,USB 2.0 (480 Mbit/sec),Yes (mini-HDMI),No,No,No,"Yes (waterproof to 25m, shockproof to 2m, dustproof)","Waterproof, Shockproof",Battery Pack,NB-6LH lithium-ion battery and charger,300,218 g (0.48 lb / 7.69 oz),109 x 68 x 28 mm (4.29 x 2.68 x 1.1″),Yes,No,Built-in,,,,,
Canon PowerShot ELPH 150 IS (IXUS 155),https://www.dpreview.com/products/canon/compacts/canon_elph150is/specifications,$149.99,Ultracompact,5152 x 3864,"3648 x 2736, 2048 x 1536, 640 x 480",4:3,20 megapixels,21 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,Digic 4+,"Auto, 100-1600",5,Yes,Optical,Unknown,Fine,24–240 mm,10×,F3–6.9,Yes (4X),No,5 cm (1.97″),1 cm (0.39″),9,Fixed,2.7″,230000,No,TFT LCD,Yes,None,15 sec,1/2000 sec,No,No,No,Yes,Yes,4.00 m,No,"Auto, on, off, slow sync",0.8 fps,"Yes (2 or 10 sec, custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"1280 x 720 (25p), 640 x 480 (30p)",H.264,"Miniature effect: 1280 x 720 (1.25, 2.5, 5 fps) or 640 x 480 (1.5, 3, 6 fps)",Mono,Mono,SD/SDHC/SDXC,USB 2.0 (480 Mbit/sec),No,No,No,No,No,Battery Pack,NB-11LH lithium-ion battery and charger,230,142 g (0.31 lb / 5.01 oz),95 x 57 x 24 mm (3.74 x 2.24 x 0.94″),No,None,,,,,,,
Canon PowerShot ELPH 140 IS (IXUS 150),https://www.dpreview.com/products/canon/compacts/canon_elph140is/specifications,$129.99,Ultracompact,4608 x 3456,"3264 x 2448, 2048 x 1536, 640 x 480",4:3,16 megapixels,17 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,Digic 4+,"Auto, 100-1600",5,Yes,Optical,Unknown,Fine,28–224 mm,8×,F3.2–6.9,Contrast Detect (sensor)Multi-areaCenterTrackingSingleContinuousFace DetectionLive View,Yes (4X),No,5 cm (1.97″),1 cm (0.39″),9,Fixed,2.7″,230000,No,TFT LCD,Yes,None,15 sec,1/2000 sec,No,No,No,Yes,Yes,3.00 m,No,"Auto, on, off, slow sync",0.8 fps,"Yes (2 or 10 sec, custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"1280 x 720 (25p), 640 x 480 (30p)",H.264,"Miniature effect: 1280 x 720 (1.25, 2.5, 5 fps) or 640 x 480 (1.5, 3, 6 fps)",Mono,Mono,SD/SDHC/SDXC,USB 2.0 (480 Mbit/sec),No,No,No,No,No,Battery Pack,NB-11L lithium-ion battery and charger,230,127 g (0.28 lb / 4.48 oz),95 x 54 x 22 mm (3.74 x 2.13 x 0.87″),No,None,,,,,,
Canon PowerShot ELPH 135 (IXUS 145),https://www.dpreview.com/products/canon/compacts/canon_elph135/specifications,$119.99,Ultracompact,4608 x 3456,"3264 x 2448, 2048 x 1536, 640 x 480",4:3,16 megapixels,17 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,Digic 4+,"Auto, 100-1600",5,Yes,Digital only,Unknown,Fine,28–224 mm,8×,F3.2–6.9,Contrast Detect (sensor)Multi-areaCenterTrackingSingleContinuousFace DetectionLive View,Yes (4X),No,5 cm (1.97″),1 cm (0.39″),9,Fixed,2.7″,230000,No,TFT LCD,Yes,None,15 sec,1/2000 sec,No,No,No,Yes,Yes,3.00 m,No,"Auto, on, off, slow sync",0.8 fps,"Yes (2 or 10 sec, custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"1280 x 720 (25p), 640 x 480 (30p)",H.264,"Miniature effect: 1280 x 720 (1.25, 2.5, 5 fps) or 640 x 480 (1.5, 3, 6 fps)",Mono,Mono,SD/SDHC/SDXC,USB 2.0 (480 Mbit/sec),No,No,No,No,No,Battery Pack,NB-11L lithium-ion battery and charger,230,127 g (0.28 lb / 4.48 oz),95 x 54 x 22 mm (3.74 x 2.13 x 0.87″),No,None,,,,,,
Canon PowerShot S200,https://www.dpreview.com/products/canon/compacts/canon_s200_2014/specifications,€280,Compact,3648 x 2736,"1:1, 4:3, 3:2, 16:9",10 megapixels,"1/1.7"" (7.44 x 5.58 mm)",CCD,Digic 5,"Auto, 80-6400",7,Yes (2),Optical,No,"Fine, Normal",24–120 mm,5×,F2–5.9,Contrast Detect (sensor)Multi-areaCenterSelective single-pointTrackingSingleContinuousTouchFace DetectionLive View,Yes (4x),Yes,3 cm (1.18″),9,Fixed,3″,461000,No,TFT PureColor II G Touch screen LCD,Yes,None,15 sec,1/2000 sec,Yes,Yes,Yes,Yes,Yes,7.00 m,No,"Auto, On, Off, Red-Eye, Slow Sync, Second Curtain",1.9 fps,"Yes (2 or 10 sec, custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"1280 x 720 (24 fps), 640 x 480 (30 fps)",H.264,"Miniature effect: HD (4.8, 2.4, 1.2 fps), L (6, 3, 1.5 fps)",Stereo,Mono,SD/SDHC/SDXC,USB 2.0 (480 Mbit/sec),Yes (Mini),Built-In,Wi-Fi (802.11b/g/n),No,No,Battery Pack,NB-6LH lithium-ion battery and charger,200,181 g (0.40 lb / 6.38 oz),100 x 59 x 26 mm (3.94 x 2.32 x 1.02″),Yes,No,Optional,via mobile (linked to compatible smartphone),,,,,,,
Canon PowerShot ELPH 340 HS (IXUS 265 HS),https://www.dpreview.com/products/canon/compacts/canon_elph340hs/specifications,$199,Ultracompact,4608 x 3456,"3264 x 2448, 2048 x 1536, 640 x 480, 4608 x 2592, 3264 x 1832, 1920 x 1080, 640 x 360, 4608 x 3072, 3264 x 2176, 2048 x 1368, 640 x 424, 3456 x 3456, 2448 x 2448, 1536 x 1536, 480 x 480","1:1, 4:3, 3:2, 16:9",16 megapixels,17 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CMOS,DIGIC 4+,"Auto, 100, 200, 400, 800, 1600, 3200",5,Yes,Optical,No,"Superfine, Fine",25–300 mm,12×,F3.6–7,Contrast Detect (sensor)Multi-areaCenterSingleContinuousFace Detection,Yes (4X),Yes,5 cm (1.97″),1 cm (0.39″),9,Fixed,3″,461000,No,TFT LCD,Yes,None,15 sec,1/2000 sec,No,No,No,Yes,Yes,4.00 m,No,"Auto, Flash On, Slow Synchro, Flash Off",3.9 fps,"Yes (2 or 10 sec, custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),No,"1920 x 1280  (30fps), 1280 x 720 (30 fps), 640 x 480 (30 fps)",H.264,Mono,Mono,SD/SDHC/SDXC,USB 2.0 (480 Mbit/sec),Yes,Built-In,802.11 b/g/n with NFC,No,No,Battery Pack,Rechargeable Li-ion Battery NB-11LH,190,147 g (0.32 lb / 5.19 oz),100 x 58 x 22 mm (3.93 x 2.27 x 0.88″),Yes,None,,,,,,
Canon PowerShot N100,https://www.dpreview.com/products/canon/compacts/canon_n100/specifications,$349.99,Compact,4000 x 3000,"4000 x 3000, 4000 x 2248, 4000 x 2664, 2992 x 2992, 2816 x 2112, 2816 x 1880, 2816 x 1584, 2112 x 2112, 1920 x 1080, 1600 x 1200, 1600 x 1064, 1200 x 1200, 640 x 480, 640 x 424, 640 x 360, 480 x 480","1:1, 4:3, 3:2, 16:9",12 megapixels,13 megapixels,"1/1.7"" (7.44 x 5.58 mm)",CMOS,DIGIC 6,"Auto, 80 - 6400",6,Yes,Optical,No,"Superfine, Fine",24–120 mm,5×,F1.8–5.7,Contrast Detect (sensor)Multi-areaCenterSingleTouchFace DetectionLive View,Yes (4x),Yes,9,Tilting,3″,922000,Yes (Capacitive type),TFT PureColor II G Touch screen LCD,Yes,None,15 sec,1/2000 sec,No,No,No,Yes,Yes,7.00 m,No,"Auto, Flash On, Slow Synchro, Flash Off","Yes (2 or 10 sec, custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),No,"1920 x 1280 (30 fps), 1280 x 720 (30 fps), 640 x 480 (30 fps)",H.264,Stereo,Mono,SD/SDHC/SDXC,USB 2.0 (480 Mbit/sec),Yes (micro HDMI),Built-In,802.11 b/g/n with NFC,No,Battery Pack,Lithium-Ion NB-12L rechargeable battery & charger,330,289 g (0.64 lb / 10.19 oz),105 x 68 x 36 mm (4.13 x 2.68 x 1.42″),Yes,Optional,via smartphone,,,,,,,,,
Canon PowerShot SX600 HS,https://www.dpreview.com/products/canon/compacts/canon_sx600/specifications,$249.99,Compact,4608 x 3456,"3264 x 2448, 2048 x 1536, 640 x 480, 4608 x 2592, 3264 x 1832, 1920 x 1080, 640 x 360, 4608 x 3072, 3264 x 2176, 2048 x 1368, 640 x 424, 3456 x 3456, 2448 x 2448, 1536 x 1536, 480 x 480","1:1, 4:3, 3:2, 16:9",16 megapixels,"1/2.3"" (6.17 x 4.55 mm)",BSI-CMOS,DIGIC 4+,"Auto, 100, 200, 400, 800, 1600, 3200",5,Yes,Optical,No,"Superfine, Fine",25–450 mm,18×,F3.8–6.9,Contrast Detect (sensor)Multi-areaCenterFace Detection,Yes,5 cm (1.97″),9,Fixed,3″,461000,No,PureColor II G (TFT),Yes,None,15 sec,1/2000 sec,No,No,No,Yes,Yes,3.50 m (50 cm – 3.5 m (W) / 1.0 m – 2.0 m (T)),Yes (Canon High Power Flash HF-DC2),"Auto, Manual Flash On / Off, Slow Synchro",3.9 fps,"Yes (2 or 10 sec, custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"1920 x 1280  (30fps), 1280 x 720 (30 fps), 640 x 480 (30 fps)",H.264,Mono,Mono,SD/SDHC/SDXC,USB 2.0 (480 Mbit/sec),Yes,Built-In,802.11 b/g/n with NFC,No,Battery Pack,Rechargeable Li-ion Battery NB-6LH,290,188 g (0.41 lb / 6.63 oz),104 x 61 x 26 mm (4.09 x 2.4 x 1.02″),Yes,None,via mobile (linked to compatible smartphone),,,,,,,,,,
